TC
C	mV
-50	-1.889
-45	-1.709
-40	-1.527
-35	-1.343
-30	-1.156
-25	-0.968
-20	-0.778
-15	-0.586
-10	-0.392
-5	-0.197
0	0
5	0.198
10	0.397
15	0.597
20	0.798
25	1
30	1.203
35	1.407
40	1.612
45	1.817
50	2.023
55	2.23
60	2.436
65	2.644
70	2.851
75	3.059
80	3.267
85	3.474
90	3.682
95	3.889
100	4.096
105	4.303
110	4.509
115	4.715
120	4.92
125	5.124
130	5.328
135	5.532
140	5.735
145	5.937
150	6.138
155	6.339
160	6.54
165	6.741
170	6.941
175	7.14
180	7.34
185	7.54
190	7.739
195	7.939
200	8.138
205	8.338
210	8.539
215	8.739
220	8.94
225	9.141
230	9.343
235	9.545
240	9.747
245	9.95
250	10.153
255	10.357
260	10.561
265	10.766
270	10.971
275	11.176
280	11.382
285	11.588
290	11.795
295	12.001
300	12.209
305	12.416
310	12.624
315	12.831
320	13.04
325	13.248
330	13.457
335	13.665
340	13.874
345	14.084
350	14.293
355	14.503
360	14.713
365	14.923
370	15.133
375	15.343
380	15.554
385	15.764
390	15.975
395	16.186
400	16.397
405	16.608
410	16.82
415	17.031
420	17.243
425	17.455
430	17.667
435	17.879
440	18.091
445	18.303
450	18.516
455	18.728
460	18.941
465	19.154
470	19.366
475	19.579
480	19.792
485	20.005
490	20.218
495	20.431
500	20.644
