TH
C	Ohm
0	1000.0
5	1019.5
10	1039.0
15	1058.5
20	1077.9
25	1097.3
30	1116.7
35	1136.1
40	1155.4
45	1174.7
50	1194.0
55	1213.2
60	1232.4
65	1251.6
70	1270.8
75	1289.9
80	1309.0
85	1328.0
90	1347.1
95	1366.1
100	1385.1
105	1404.0
110	1422.9
115	1441.8
120	1460.7
125	1479.5
130	1498.3
135	1517.1
140	1535.8
145	1554.6
150	1573.3
155	1591.9
160	1610.5
165	1629.1
170	1647.7
175	1666.3
180	1684.8
185	1703.3
190	1721.7
195	1740.2
200	1758.6
205	1776.9
210	1795.3
215	1813.6
220	1831.9
225	1850.1
230	1868.4
235	1886.6
240	1904.7
245	1922.9
250	1941.0
255	1959.1
260	1977.1
265	1995.1
270	2013.1
275	2031.1
280	2049.0
285	2067.0
290	2084.8
295	2102.7
300	2120.5
305	2138.3
310	2156.1
315	2173.8
320	2191.5
325	2209.2
330	2226.8
335	2244.5
340	2262.1
345	2279.6
350	2297.2
355	2314.7
360	2332.1
365	2349.6
370	2367.0
375	2384.4
380	2401.8
385	2419.1
390	2436.4
395	2453.7
400	2470.9
405	2488.1
410	2505.3
415	2522.5
420	2539.6
425	2556.7
430	2573.8
435	2590.8
440	2607.8
445	2624.8
450	2641.8
455	2658.7
460	2675.6
465	2692.5
470	2709.3
475	2726.1
480	2742.9
485	2759.7
490	2776.4
495	2793.1
500	2809.8
