TH
C	Ohm
0	500
5	510
10	519
15	529
20	539
25	548
30	558
35	567
40	577
45	587
50	596
55	606
60	616
65	625
70	635
75	644
80	654
85	664
90	673
95	683
100	693
105	702
110	712
115	721
120	731
125	741
130	750
135	760
140	770
145	779
150	789
155	798
160	808
165	818
170	827
175	837
180	847
185	856
190	866
195	875
200	885
205	895
210	904
215	914
220	924
225	933
230	943
235	952
240	962
245	972
250	981
255	991
260	1001
265	1010
270	1020
275	1029
280	1039
285	1049
290	1058
295	1068
300	1078
305	1087
310	1097
315	1106
320	1116
325	1126
330	1135
335	1145
340	1155
345	1164
350	1174
355	1183
360	1193
365	1203
370	1212
375	1222
380	1232
385	1241
390	1251
395	1260
400	1270
405	1280
410	1289
415	1299
420	1309
425	1318
430	1328
435	1337
440	1347
445	1357
450	1366
455	1376
460	1386
465	1395
470	1405
475	1414
480	1424
485	1434
490	1443
495	1453
500	1463
